City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Kargat,RU,55.1956,80.2811,41.47,72,100,11.32,overcast clouds
290,Bonfim,BR,3.0833,-59.95,80.31,78,100,6.73,overcast clouds
291,Vagur,FO,61.4732,-6.8119,45.81,70,28,13.67,scattered clouds
292,Awbari,LY,26.5921,12.7805,68.88,42,22,5.39,few clouds
293,Wanlaweyn,SO,2.6185,44.8938,74.75,84,8,8.1,clear sky
294,Saint-Paul,RE,-21.0096,55.2707,69.89,79,50,3.18,scattered clouds
295,Villefranche-Sur-Saone,FR,45.9833,4.7167,66.74,84,78,5.41,broken clouds
296,Bukoba,TZ,-1.3317,31.8122,66.51,80,96,5.06,overcast clouds
297,Riyadh,SA,24.6877,46.7219,71.74,15,3,3.74,clear sky
298,Suhut,TR,38.5311,30.5458,58.66,64,81,2.33,broken clouds
299,Boddam,GB,57.4667,-1.7833,50.38,75,100,18.45,overcast clouds
300,Olinda,BR,-8.0089,-34.8553,78.53,69,40,10.36,scattered clouds
301,Richards Bay,ZA,-28.783,32.0377,71.92,82,96,11.79,overcast clouds
302,Arlit,NE,18.7369,7.3853,79.57,21,0,18.25,clear sky
303,Sisimiut,GL,66.9395,-53.6735,22.86,81,85,7.38,overcast clouds
304,Khorramshahr,IR,30.4397,48.1664,71.56,56,14,2.3,few clouds
305,Maniitsoq,GL,65.4167,-52.9,25.43,66,26,10.67,scattered clouds
306,Oktyabrskoye,RU,43.0645,44.7417,46.54,100,69,4.47,fog
307,Auburn,US,47.3073,-122.2284,71.74,61,75,5.75,haze
308,Ekibastuz,KZ,51.6667,75.3667,41.2,90,100,24.96,overcast clouds
309,Sovetskiy,RU,61.3614,63.5842,33.04,93,76,6.8,broken clouds
310,Kologriv,RU,58.8275,44.3178,33.22,94,50,4.05,scattered clouds
311,Bikaner,IN,28.0167,73.3,76.59,26,0,11.18,clear sky
312,Kostomuksha,RU,64.571,30.5767,35.02,91,100,9.53,overcast clouds
313,Laguna,US,38.421,-121.4238,93.15,25,0,8.05,clear sky
314,Cubuk,TR,40.2386,33.0322,54.77,93,14,3.44,few clouds
315,Tatawin,TN,32.9297,10.4518,64.89,78,0,1.86,clear sky
316,Karaidel,RU,55.8337,56.9069,38.93,92,100,2.46,overcast clouds
317,Agirish,RU,61.9247,63.0231,34.45,86,96,9.48,overcast clouds
318,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.29,84,90,20.31,moderate rain
319,Cavaillon,FR,43.8312,5.0359,67.39,88,100,2.3,overcast clouds
320,Santiago De Compostela,ES,42.8805,-8.5457,58.51,82,75,18.41,broken clouds
321,Sandnessjoen,NO,66.0217,12.6316,43.65,95,100,5.99,overcast clouds
322,Ondjiva,AO,-17.0667,15.7333,77.25,41,97,7.7,overcast clouds
323,Umm Kaddadah,SD,13.6017,26.6876,83.82,22,5,13.76,clear sky
324,Adrar,MR,20.5022,-10.0711,86.92,13,39,8.41,scattered clouds
325,Aleksandrov Gay,RU,50.147,48.5704,51.26,61,100,9.84,overcast clouds
326,Road Town,VG,18.4167,-64.6167,84.29,89,20,4.61,few clouds
327,Carutapera,BR,-1.195,-46.02,79.63,78,97,11.01,overcast clouds
